,Edad,Genero,Vivienda,Ecivil,Ubicacion,Salario,Hijos,Catalogos,Monto,Historial
0,Adulta,Masculino,Propia,Casado,Lejos,80700,0,18,3034.0,Alto
1,Joven,Masculino,Alquilada,Casado,Cerca,43700,1,12,927.0,Medio
2,Joven,Femenino,Alquilada,Casado,Cerca,41700,1,6,521.0,Bajo
3,Media,Masculino,Propia,Soltero,Cerca,62800,3,6,707.0,Medio
4,Joven,Masculino,Alquilada,Soltero,Cerca,21700,1,18,774.0,Bajo
5,Media,Femenino,Alquilada,Casado,Cerca,87700,3,24,2446.0,Alto
6,Adulta,Femenino,Propia,Casado,Cerca,41600,0,18,982.0,Alto
7,Media,Femenino,Propia,Casado,Lejos,96800,3,24,3082.0,Alto
8,Media,Masculino,Alquilada,Casado,Cerca,76200,1,24,2437.0,Alto
9,Media,Masculino,Propia,Casado,Cerca,77700,0,6,983.0,Alto
10,Joven,Masculino,Propia,Casado,Cerca,58900,0,18,1215.0,Medio
11,Media,Femenino,Propia,Casado,Cerca,105300,1,24,3360.0,Alto
12,Joven,Femenino,Propia,Casado,Lejos,33700,0,6,614.0,Bajo
13,Joven,Femenino,Propia,Soltero,Cerca,25900,2,12,449.0,Bajo
14,Media,Masculino,Propia,Casado,Lejos,72500,0,24,2595.0,Alto
15,Joven,Femenino,Alquilada,Soltero,Lejos,13200,0,24,358.0,Bajo
16,Joven,Femenino,Alquilada,Soltero,Cerca,15600,0,12,468.0,Bajo
17,Media,Masculino,Propia,Soltero,Lejos,71500,0,6,964.0,Medio
18,Joven,Masculino,Alquilada,Soltero,Cerca,14400,0,24,615.0,Bajo
19,Media,Masculino,Propia,Soltero,Cerca,57600,1,6,1006.0,Medio
20,Media,Masculino,Alquilada,Casado,Lejos,48800,2,12,1647.0,Alto
21,Adulta,Femenino,Propia,Soltero,Cerca,11400,0,6,258.0,Bajo
22,Media,Masculino,Propia,Casado,Cerca,127000,0,12,1821.0,Alto
23,Media,Masculino,Alquilada,Soltero,Cerca,39000,0,6,643.0,Medio
24,Joven,Femenino,Alquilada,Soltero,Cerca,16300,1,12,470.0,Bajo
25,Joven,Femenino,Alquilada,Soltero,Lejos,21700,3,24,708.0,Bajo
26,Media,Femenino,Alquilada,Soltero,Cerca,42200,0,18,1753.0,Bajo
27,Adulta,Femenino,Propia,Casado,Lejos,91800,0,24,2452.0,Alto
28,Media,Masculino,Propia,Casado,Cerca,79600,2,6,1575.0,Alto
29,Joven,Masculino,Alquilada,Soltero,Cerca,25800,0,6,451.0,Bajo
30,Media,Masculino,Propia,Casado,Cerca,105300,1,18,3505.0,Alto
31,Joven,Masculino,Alquilada,Soltero,Cerca,14800,3,12,436.0,Bajo
32,Joven,Masculino,Alquilada,Soltero,Cerca,10400,0,18,189.0,Bajo
33,Joven,Femenino,Alquilada,Soltero,Lejos,16100,0,6,202.0,Bajo
34,Media,Masculino,Propia,Casado,Cerca,63300,2,6,633.0,Alto
35,Media,Femenino,Propia,Casado,Cerca,93400,2,24,3079.0,Alto
36,Joven,Femenino,Propia,Soltero,Lejos,21400,3,6,326.0,Bajo
37,Joven,Masculino,Alquilada,Soltero,Cerca,17400,0,12,332.0,Bajo
